userName,score,at,content
M Facrudin Tio,3,2023-05-23 07:15:49,"Kurang sistem DP.... Agar agak ringan kalau mau beli barang harga jutaan.... (Admin gak paham! SPL gua udah 10jt , tapi gua mau beli barang 5jt dan gua mau beli cash, tapi uang gua cuma 2jt sisanya mau bayar pakai SPL. Gua tau kalau SPL kurang bisa pakai metode pembayaran lain! Tapi bukan itu maksud gua bambang.)"
Andi andhika Maulana saputra,1,2023-05-23 07:03:31,"tolong lah jangan di batasi shope pay sayaa....,masa 100k hilang begitu saja karena batasan apa coba kesalahan yang saya buat,dari dulu sampe sekarang pake ini aplikasi aman aman aja tuh dan ga pernah curang, tolonglah ya lebih kembangkan lagi ni apk...."
Ria Nathasya Putri,1,2023-05-23 06:37:29,"Sumpaaaaaahh nyesel bgt update aplikas shopee. Langsung ga bisa dibuka sama sekali dan tulisan nya downloading 0% terus. Padahal paket data saya banyak, memori kg msh banyak. Mana abis isi shopeepay banyak lg mw buat transfer2 dan byr paylater. Ampun deh ngeselin bgt. Uninstall aja lah ntr klo ak udh selesai soalnya cmbkn emosi setiap bjka shopee skg."
Rara Tan,1,2023-05-23 05:23:06,Saya pesan shoope food dgn pembayaran paylater dinyatakan eror pdhal jaringan bagus saya coba 2 kali eror jg. Akhirnya saya byr cash. Setelah makanan dtg Ternyata yg eror itu masuk. Akhirnya 3 kali driver dtg dgn menu makanan yg sama dikarenakan shoppe yg eror. Kalau spt ini trs rugi dong. Tlg dong diperbaiki lagi sistemnya yh.
Zool Fikar,5,2023-05-23 05:13:21,Shopee is the best Khusus buat penjual tlg deskripsi iklan nya benar2 disesuaikan dgn produk yg ditawarkan ke pembeli...soalnya satu2 nya cara pembeli agar pesanan nya sesuai hnya berpedoman pada deskripsi iklan si penjual.. Seller hrs bnar2 amanah dlm menjual barang nya...jgn main tipu2 di shopee
GT Project,1,2023-05-23 05:01:55,"Developer payahh..udah update versi baru,clear cache,internet bagus masih aj sering hang tidak bisa dipencet jika digunakan agak lama,loading halaman jadi berat. Harus reload aplikasi dulu baru lancar trus klo dah agak lama hang lagi pdahal pke hp realme 5 pro ram 8. Masih lancar aplikasi tokped🥱"
Febrico imanuel 0,1,2023-05-23 04:27:43,Shopee sekarang penjualnya atau kurir2 nya pada gajelas semua!!! Barang2 yang dipesen selalu dibatalkan seenaknya aja!! Padahal barang itu penting atau gimana. Gajelas banget bikin kecewa!!
Muhammad Raihan Falah,5,2023-05-23 04:25:00,"Saran sih kalau bisa, adain opsi Pelunasan Penuh untuk setiap barang yg dibeli dengan Spaylater.. seperti Spinjam.. Trimss.. :).. Tambahan kali aja di acc.. adain juga Opsi bisa edit jumlah yg harus dibayar di Spaylater kaya Spinjam.. jadi pas ada uang bisa di bayar dulu dikit² Makasih atas perhatiannya"
Jamal Ismail,1,2023-05-23 04:22:19,"Masih sama, tidak ada perubahan makin lemot saja. Udah update versi terbaru, jaringan internet bagus, clear cache sudah, logout login sudah. Tetap saja Loading aplikasi lama banget. Update aplikasi hanya makan memori besar saja,kinerja aplikasinya parah lambat..."
Puput Nur123,5,2023-05-23 02:37:34,"Saya sangat puas dengan layanan Shopee selain bisa belanja dengan hemat bisa menyimpan uang seperti ATM dan bisa mendapatkan uang juga walau hanya recehan tapi terbukti dan bukan penipuan 🥰, terimakasih dan satu lagi pas liat video Shopee jangan tambah lama dong kk makin lama makin sedikit bonus nya 😁🙏🏻"
Adyt Mulawarman,5,2023-05-23 02:21:09,"Selama berbelanja di shopee,barang2 yang saya pesan semuanya bagus,benar2 sesuai dengan gambar dan iklan,kualitasnya bagus,pelayanan dan pengiriman juga sangat baik"
Nir paeda,3,2023-05-23 00:30:58,Tolong ini diperbaiki masak mau pilih alamat pas check out ga keluar pilihannya. Selain itu masuk pengaturan akun disetiap pilihannya kalau dibuka isinya blank putih saja.
Hanifah Hanifah,1,2023-05-23 00:06:28,"Makin hari makin gk jelas, voucher cuma di kasih 1 dlam seminggu itupun min40 ,padahal biasanya voucher min 30 dan min0 banyak,lama"" uninstall juga nih apk,lebih enak aplikasi biru"
Bonaventura Algi Fernanda,2,2023-05-22 23:51:14,"Biasanya gw muji muji marketing ini apps bagus, skrg jelek. Soalnya voucher gratis ongkirnya udah jarang bgt ada. Ada, kalau event tgl kembar sama tgl 25 doang. Dikira org checkout setiap tgl itu doang kali. Masi mending kompetitor sebelah voucher gratis ongkirnya di refresh mingguan jdi stiap minggu UDAH PASTI kita login apps buat klaim voucher dan checkout. Mending rekrut gw jdi marketing shopee deh. Gw bantai semua nanti apps kompetitor. Kebetulan gw ada track record jdi marketing wkwk."
M Heri Hermawan (Akew),5,2023-05-22 16:07:02,"Shoppe merupakan toko online yg sangat bagus dlm hal pelayanan terhadap masyarakat atw konsumen nya.. Tapi sangat disayangkan, kenapa sekarang aplikasi Shopee sangat susah untuk dibuka fiturnya, apalagi fitur yg shopee game sangat lebay dan bikin sewot.."
YUDIAJA Wes,3,2023-05-22 15:50:22,"Aplikasi belanja online yg terbaik.. Cuma ada sedikit saja masalah yg aku alami...semakin di perbarui,,, semakin lemot,semakin berat dan lambat aplikasi nya,,,hadeuh. kalau masuk game sering eror, harus keluar dulu dan paksa berhenti,, baru lancar. Apa lagi saat upload video unboxing, lama prosesnya, tiba tiba ngehank, padahal ruang penyimpanan masih banyak dan jaringan internet Wifi bagus dan stabil, ini bukan dari perangkat HP nya, tapi memang dari aplikasi Shopee nya yg sering trouble/eror."
GoodSeller,5,2023-05-22 15:46:05,"Untuk developer Shopee, tolong dibuat lagi aplikasi Shopee seperti versi dulu yang bisa login langsung beberapa akun dan bisa pindah tanpa harus login ulang seperti halnya sosmed. Ini akan mempermudah bagi yang memiliki toko lebih dari 1 tidak perlu kebanyakan hp."
Ijep Saepudin,5,2023-05-22 15:23:43,"Setelah saya komplain ngasih ulasan jelek, Akhir nya dana saya kembali ke akun shopeepay. Jadi saya juga ngasih lagi ulasan *5. Nah gitu donk tim shopee Pake logika&bukti Kan udah jelas saya kasih bukti foto pengiriman,karena setelah itu toko tersebut statusnya di blokir shopee."
pallevi,5,2023-05-22 15:21:37,"saya sudah nyaman menggunakan app shoope, nmun ada yang harus di tingkatkan untuk menunjang kenyamanan konsumen shoope pinjam limit nya kok nggak naik2 dan untuk pencairan harus nunggu 2 hari nggak bisa langsung padahal kan saya konsumen lma dan pembayaran nggak pernah telat, harusnya untuk yang baru daftar bisa nunggu dulu 2 hari tapi untuk konsumen lama dengan tingkat pembayaran yang bagus harusnya langsung di cairkan jgan di samakan dengan konsumen baru"
Raditya Prawira,1,2023-05-22 15:03:37,"Aplikasi nya ga sebagus itu, performa yang jelek padahal device udah bagus internet udah bagus tapi tetep aja loading lama pas mau buka aplikasi nya apalagi pas mau checkout barang, sampe harus keluar baru masuk lagi baru bisa. Sama satu lagi masa udah gabisa top up roblox sih? Tolong di update dong fitur voucher game nya."
Iis Erin Septiani,5,2023-05-22 14:25:23,"Untuk Shopee . Saya saran . Kalau ada toko yg mau tipu2 tolong jangan d tampilkan lagi / jangan sampai masuk k soppee . Pengalaman Ade saya . Pesan sendal harga 16 ribu 1 Minggu tidak d kirim2 . Terus d cek toko nya d blok sama pihak shopee . Selang beberapa Minggu datang paket sendal dengan harga 68 ribu. Trus tadi siang datang lagi paket sendal cod juga 58 ribu berarti selang sekitaran 1 bulan . Padahal tidak pesan sendal lagi , . Sama kurir nya dari J&T expres . Kasian kang kurir nya ."
RAYU EKO HARTIAN,1,2023-05-22 13:50:01,"Bikin jengkel saja ini shopee,udah RAM tinggi,jaringan bagus,lancar,+di pakekan wifi segala masih aja lemot,loading lama banget,mau buka saja lama banget sampe harus tunggu kurang lebih setengah jam,jngan minta update""trus klw yg bginian saja blum slesai,itu klw di update brarti di perbarlharui bukan malah makin rusak"
Siti Afiya,3,2023-05-22 13:46:03,"Saya kira saya memang salah klik pesanan diterima, tapi di hp saya yang satunya juga mengalami hal yang sama. Lalu bagaimana jika saya tidak bisa melakukan pengembalian. Sepertinya aplikasinya yang ngalamin BUG alias eror. Setelah diperbarui ternyata juga sama."
Tas Ripah,1,2023-05-22 13:38:07,"Setelah di update malah lemot banget. Pas udh ke buka ga lama keluar sendiri. Pdahal jaringan lancar, penyimpanan masih cukup. Bikin kesel... Ga bisa pilih barang yg mw di order jadi nya."
Sandi Kesha,1,2023-05-22 13:31:20,"Cukup sekali aja pakai shopee,sebab pengiriman lama. Biasa nya belanja online pesen dari jakarta ke sumatera utara itu cuma lima hari,eh ini udah seminggu gak nyampe²."
Surya Alip,5,2023-05-22 13:07:00,"Sangat memuaskan blnja di shope, pengiriman nya pun cepat. Kurirnya pun ramah."
leni opi tantia,1,2023-05-22 12:33:05,"Setelah di update performanya makin buruk, loadingnya lama banget, mau cari barang pun muter² trus, mau beli pake data nunggu smpe 1 jam pun sama, chace sudah di bersihkan, internet oke padahal, ampun deh tolong dong min perbaiki lagi kecewa nh😖"
PadhiLah Salsabila,1,2023-05-22 12:15:38,"Shopee sekarang aneh bangett padahal paket nya belum diserahkan kurir kepada saya. Tiba"" udah di kembalikan ke penjual . Terus dapat notifikasi kalo paket di tolak dan sistem cod ku jadi dimatikan sepihak gak ada kejelasan nya. Shope aneh ya sekarang emang lebih bagus belanja di tiktok atau gak tokepedia . Kecewa sekarang sama shopee"
Ajay Bengkel subur jaya,3,2023-05-22 11:22:30,apknya bagus.... yg kurang bagus penyesuaian jaringanya selalu bermasalah di jaringanya katanya jaringan tidak stabil... mohon kedepanya d perbaiki lagi lah admin.... saya kecewa sebagai pengguna setia shopee...
simanis punxe,3,2023-05-22 08:51:29,Shoppe..mohon d tinggkatkan lagi dong kualitasnya..banyak penjual nakal yg kita gk pesen tiba2 datang pakek nama kita..ini keponakan aku hampir setiap hari dapat paket cod 70rb an padahal gk pesen.sampk di hapus akunya masih aja di pakek
Zendra Wijayantaka,5,2023-05-22 08:31:22,"Saya sebagai orang miskin sangat terbantu dengan adanya aplikasi Shopee ini,mohon untuk developer kembalikan event seperti dulu lagi undang teman dapet 6 ribu rupiah,sekarang cuma 1 ribu rupiah itupun susah buat masukin kodenya 😭"
Kamil Ibrahim,2,2023-05-22 08:22:41,"Duh..makin kesini kok malah makin kesana ya..aplikasi lemot banget, upload produk gagal terus..mending hapus aja lah video ala-ala tiktok yang enggak ada hubungannya sama produk yang dijual..marketplace sebelah jauh lebih nyaman"
Feri Antoro,3,2023-05-22 06:59:41,"Sayang banget udh seminggu lebih ga bisa pkai voucher gratis ongkir ny, padahal bnyak voucher ny tapi ga bisa d pakai 1 pun,pas mau CO udh otomatis kepotong ongkir ny tapi cuma seribu 2ribu ada juga yg ga kepotong, tolong dong pihak Shopee di perbaiki lagi, mngkin ga seluruh akun Shopee yg ga bisa d gunakan voucher ny tapi ini sangat berpengaruh untuk kami yg voucher gratis ongkir ny ga bisa kepake, terimakasih 🙏"
FARSYA SPL 4059,1,2023-05-22 06:29:57,"Ni pihak shoope gimana sih anj, masa uang 248 ribu ludess, tanpa ada transaksi dan persetujuan, bahkan pembayaran apa pun tidak tercantum di riwayat!!!!! Kecewa berat saya simpan uang di shoope pay"
DerGanz93,2,2023-05-22 06:11:49,"Aplikasi rada lemot klo di klik.. Pengiriman nya jg lama sekali, kadang ga sesuai estimasi, beda sama sebelah, sehari barang langsung sampe.."
Dwi Praja,1,2023-05-22 04:41:28,"Di mana ya kebijakan shopee,tolong ya banyak sekali tokoh/penjual yg menipu di aplikasi ini sekarang,belum lagi respon dan paket yg di kirim begitu lama,jujur saya sebagai konsumen begitu dirugikan. Dan sekali lagi jujur ya dari segi cara,keamanan dan respon Lazada lebih baik. Uninstal by shopee!"
